ID	DOCULECT	CONCEPT	CONCEPTICON_ID	ALIGNMENT	COGID
135	Logudurese	I	1	e o	0
136	Logudurese	YOU_S	2	t u e	0
137	Logudurese	HE	3	i l l e	0
138	Logudurese	WE	4	n o i s	0
139	Logudurese	YOU_P	5	b o i s	0
140	Logudurese	ALL	6	t o t t u	0
141	Logudurese	MANY	7	t a n t u	0
142	Logudurese	SOME	8	a l g u n u	2
143	Logudurese	SOME	8	k a l k i	1
144	Logudurese	EAR	9	a u r i k a	0
145	Logudurese	EYE	10	ɔ j u	0
146	Logudurese	NOSE	11	n a s u	0
147	Logudurese	BEAUTIFUL	12	b ɛ l l o	0
148	Logudurese	BEAUTIFUL	12	e r m o z u	3
150	Logudurese	SMELL	13	s e r i a r e	2
151	Logudurese	FEAR	14	t i m i r e	0
152	Logudurese	SLEEP	15	d r o m m i r e	0
153	Logudurese	RIVER	16	f l u m e n e	0
154	Logudurese	CLOUD	17	n u i l u	0
155	Logudurese	ICE	18	g j a ʣ u	0
156	Logudurese	COLD	19	f r i t t u	0
157	Logudurese	GOOD	20	b o n u	0
158	Logudurese	BAD	21	m a l e	0
159	Logudurese	BECAUSE	22	p r ɔ j t e	0
160	Logudurese	SAY	23	n a r r e r e	2
161	Logudurese	LIVE	24	b i v e r e	0
162	Logudurese	LIVE	24	k a m p a r e	2
163	Logudurese	FISH	25	p i s k e	0
164	Logudurese	MOTHER	26	m a m a	0
165	Italian	I	1	i o	0
166	Italian	YOU_S	2	t u	0
167	Italian	HE	3	l u i	1
168	Italian	WE	4	n o i	0
169	Italian	YOU_P	5	v o i	0
170	Italian	ALL	6	t u t t o	0
171	Italian	MANY	7	t a n t o	0
172	Italian	SOME	8	a l k u n i	2
173	Italian	SOME	8	k w a l k e	1
174	Italian	EAR	9	o r e k k j o	0
175	Italian	EYE	10	ɔ k k j o	0
176	Italian	NOSE	11	n a s o	0
177	Italian	BEAUTIFUL	12	b ɛ l l o	0
178	Italian	SMELL	13	s e n t i r e	0
179	Italian	FEAR	14	t e m e r e	0
180	Italian	SLEEP	15	d o r m i r e	0
181	Italian	RIVER	16	f j u m e	0
182	Italian	CLOUD	17	n u v o l a	0
183	Italian	ICE	18	g j a t ʧ o	0
184	Italian	COLD	19	f r e d d o	0
185	Italian	GOOD	20	b w ɔ  n o	0
186	Italian	BAD	21	m a l e	0
187	Italian	BECAUSE	22	p e r k e	0
188	Italian	SAY	23	d i r e	0
189	Italian	LIVE	24	v i v e r e	0
190	Italian	FISH	25	p e ʃ ʃ e	0
191	Italian	MOTHER	26	m a m m a	0
192	Latin	I	1	ɛ g ɔ	0
193	Latin	YOU_S	2	t ʊ	0
194	Latin	HE	3	ı s	0
195	Latin	WE	4	n ɔ s	0
196	Latin	YOU_P	5	w ɔ s	0
197	Latin	ALL	6	ɔ m n e s	1
198	Latin	ALL	6	k u n k t ı	0
199	Latin	MANY	7	t a n t ʊ s	0
200	Latin	MANY	7	m ʊ l t ʊ s	1
201	Latin	SOME	8	a l i kʷ ɔ t	1
201	Latin	SOME	8	a l i kʷ ɔ t	2
202	Latin	EAR	9	a ʊ r ı s	0
203	Latin	EYE	10	ɔ k ʊ l ʊ s	0
204	Latin	NOSE	11	n a s ʊ s	0
205	Latin	BEAUTIFUL	12	p ʊ l k ɛ r	4
206	Latin	BEAUTIFUL	12	f o r m o s ʊ s	3
207	Latin	SMELL	13	s ɛ n t i r ɛ	0
208	Latin	FEAR	14	t ı m e r ɛ	0
209	Latin	SLEEP	15	d ɔ r m i r ɛ	0
210	Latin	RIVER	16	f l u m ɛ n	0
211	Latin	RIVER	16	f l u w  i ʊ s	2
212	Latin	CLOUD	17	n u b e s	0
213	Latin	ICE	18	g l a k j e s	0
